,시도,시군구,월,일,경상자수,부상신고자수,중상자수,부상자수,사고건수,사망자수,연도
0,인천,강화군,01월,01일,1,0,0,1,1,0,2018년
1,인천,강화군,02월,01일,1,0,0,1,1,0,2018년
2,인천,강화군,03월,01일,0,0,1,1,1,0,2018년
3,인천,강화군,04월,01일,0,0,0,0,0,0,2018년
4,인천,강화군,05월,01일,1,0,0,1,1,0,2018년
5,인천,강화군,06월,01일,0,0,0,0,0,0,2018년
6,인천,강화군,07월,01일,5,0,3,8,3,0,2018년
7,인천,강화군,08월,01일,0,0,0,0,0,0,2018년
8,인천,강화군,09월,01일,1,0,0,1,1,0,2018년
9,인천,강화군,10월,01일,0,4,0,4,1,0,2018년
10,인천,강화군,11월,01일,0,0,2,2,1,0,2018년
11,인천,강화군,12월,01일,0,0,0,0,0,0,2018년
12,인천,계양구,01월,01일,1,1,1,3,3,0,2018년
13,인천,계양구,02월,01일,1,0,3,4,4,0,2018년
14,인천,계양구,03월,01일,2,0,0,2,1,0,2018년
15,인천,계양구,04월,01일,0,0,0,0,0,0,2018년
16,인천,계양구,05월,01일,3,0,0,3,2,0,2018년
17,인천,계양구,06월,01일,2,0,0,2,1,0,2018년
18,인천,계양구,07월,01일,1,1,3,5,4,0,2018년
19,인천,계양구,08월,01일,1,0,0,1,1,0,2018년
20,인천,계양구,09월,01일,0,1,0,1,1,0,2018년
21,인천,계양구,10월,01일,4,0,0,4,3,0,2018년
22,인천,계양구,11월,01일,0,0,0,0,0,0,2018년
23,인천,계양구,12월,01일,1,0,1,2,2,0,2018년
24,인천,남동구,01월,01일,4,0,0,4,2,0,2018년
25,인천,남동구,02월,01일,7,2,4,13,9,0,2018년
26,인천,남동구,03월,01일,5,0,2,7,3,0,2018년
27,인천,남동구,04월,01일,1,0,1,2,2,0,2018년
28,인천,남동구,05월,01일,5,0,1,6,4,0,2018년
29,인천,남동구,06월,01일,2,2,0,4,4,0,2018년
30,인천,남동구,07월,01일,3,0,1,4,2,0,2018년
31,인천,남동구,08월,01일,2,1,0,3,3,0,2018년
32,인천,남동구,09월,01일,2,0,0,2,1,0,2018년
33,인천,남동구,10월,01일,1,0,1,2,2,0,2018년
34,인천,남동구,11월,01일,11,0,2,13,9,0,2018년
35,인천,남동구,12월,01일,4,1,0,5,3,0,2018년
36,인천,동구,01월,01일,0,0,0,0,0,0,2018년
37,인천,동구,02월,01일,0,0,1,1,1,0,2018년
38,인천,동구,03월,01일,0,0,0,0,0,0,2018년
39,인천,동구,04월,01일,0,0,1,1,1,0,2018년
40,인천,동구,05월,01일,0,0,0,0,0,0,2018년
41,인천,동구,06월,01일,0,0,0,0,0,0,2018년
42,인천,동구,07월,01일,1,0,0,1,1,0,2018년
43,인천,동구,08월,01일,0,0,1,1,1,0,2018년
44,인천,동구,09월,01일,0,0,0,0,0,0,2018년
45,인천,동구,10월,01일,0,0,0,0,0,0,2018년
46,인천,동구,11월,01일,0,0,1,1,1,0,2018년
47,인천,동구,12월,01일,0,0,0,0,0,0,2018년
48,인천,미추홀구,01월,01일,3,0,1,4,2,0,2018년
49,인천,미추홀구,02월,01일,0,0,0,0,0,0,2018년
50,인천,미추홀구,03월,01일,9,0,0,9,3,0,2018년
51,인천,미추홀구,04월,01일,3,1,2,6,3,0,2018년
52,인천,미추홀구,05월,01일,4,0,1,5,4,0,2018년
53,인천,미추홀구,06월,01일,6,1,1,8,5,0,2018년
54,인천,미추홀구,07월,01일,5,0,1,6,4,0,2018년
55,인천,미추홀구,08월,01일,2,0,0,2,3,1,2018년
56,인천,미추홀구,09월,01일,2,0,1,3,3,0,2018년
57,인천,미추홀구,10월,01일,1,1,1,3,2,0,2018년
58,인천,미추홀구,11월,01일,7,1,1,9,6,0,2018년
59,인천,미추홀구,12월,01일,1,0,0,1,1,0,2018년
60,인천,부평구,01월,01일,2,0,2,4,3,0,2018년
61,인천,부평구,02월,01일,7,2,1,10,6,1,2018년
62,인천,부평구,03월,01일,9,0,0,9,3,0,2018년
63,인천,부평구,04월,01일,2,0,2,4,2,0,2018년
64,인천,부평구,05월,01일,1,0,0,1,1,0,2018년
65,인천,부평구,06월,01일,1,1,1,3,2,0,2018년
66,인천,부평구,07월,01일,9,1,2,12,8,0,2018년
67,인천,부평구,08월,01일,3,0,1,4,4,0,2018년
68,인천,부평구,09월,01일,1,1,0,2,2,0,2018년
69,인천,부평구,10월,01일,4,1,0,5,5,0,2018년
70,인천,부평구,11월,01일,1,0,0,1,1,0,2018년
71,인천,부평구,12월,01일,4,0,0,4,2,0,2018년
72,인천,서구,01월,01일,8,0,1,9,5,0,2018년
73,인천,서구,02월,01일,7,0,3,10,8,0,2018년
74,인천,서구,03월,01일,11,0,2,13,8,0,2018년
75,인천,서구,04월,01일,1,0,2,3,1,0,2018년
76,인천,서구,05월,01일,8,0,1,9,5,0,2018년
77,인천,서구,06월,01일,4,0,0,4,3,0,2018년
78,인천,서구,07월,01일,4,0,1,5,4,0,2018년
79,인천,서구,08월,01일,4,0,1,5,5,0,2018년
80,인천,서구,09월,01일,2,2,1,5,4,0,2018년
81,인천,서구,10월,01일,8,0,1,9,6,1,2018년
82,인천,서구,11월,01일,5,0,2,7,5,0,2018년
83,인천,서구,12월,01일,4,0,0,4,3,0,2018년
84,인천,연수구,01월,01일,3,0,0,3,2,0,2018년
85,인천,연수구,02월,01일,1,0,0,1,1,0,2018년
86,인천,연수구,03월,01일,2,0,0,2,1,0,2018년
87,인천,연수구,04월,01일,0,0,0,0,0,0,2018년
88,인천,연수구,05월,01일,1,0,1,2,1,0,2018년
89,인천,연수구,06월,01일,2,0,2,4,3,0,2018년
90,인천,연수구,07월,01일,1,1,0,2,2,0,2018년
91,인천,연수구,08월,01일,3,0,2,5,3,0,2018년
92,인천,연수구,09월,01일,2,0,1,3,3,0,2018년
93,인천,연수구,10월,01일,2,0,1,3,3,0,2018년
94,인천,연수구,11월,01일,1,0,0,1,1,0,2018년
95,인천,연수구,12월,01일,0,0,1,1,1,0,2018년
96,인천,옹진군,01월,01일,0,0,0,0,0,0,2018년
97,인천,옹진군,03월,01일,0,0,0,0,0,0,2018년
98,인천,옹진군,04월,01일,1,0,0,1,1,0,2018년
99,인천,옹진군,05월,01일,0,0,0,0,0,0,2018년
100,인천,옹진군,06월,01일,0,0,0,0,0,0,2018년
101,인천,옹진군,07월,01일,2,0,0,2,1,0,2018년
102,인천,옹진군,08월,01일,0,0,0,0,0,0,2018년
103,인천,옹진군,09월,01일,0,0,0,0,0,0,2018년
104,인천,옹진군,10월,01일,1,0,2,3,1,0,2018년
105,인천,옹진군,11월,01일,0,0,0,0,0,0,2018년
106,인천,옹진군,12월,01일,0,0,0,0,0,0,2018년
107,인천,중구,01월,01일,0,0,0,0,0,0,2018년
108,인천,중구,02월,01일,0,0,0,0,0,0,2018년
109,인천,중구,03월,01일,0,0,0,0,0,0,2018년
110,인천,중구,04월,01일,0,0,0,0,0,0,2018년
111,인천,중구,05월,01일,1,1,1,3,2,0,2018년
112,인천,중구,06월,01일,0,0,0,0,0,0,2018년
113,인천,중구,07월,01일,0,0,1,1,1,0,2018년
114,인천,중구,08월,01일,2,0,1,3,3,0,2018년
115,인천,중구,09월,01일,11,0,2,13,5,0,2018년
116,인천,중구,10월,01일,3,0,0,3,2,0,2018년
117,인천,중구,11월,01일,1,3,0,4,2,0,2018년
118,인천,중구,12월,01일,1,0,0,1,1,0,2018년
119,인천,강화군,01월,02일,0,0,0,0,0,0,2018년
120,인천,강화군,02월,02일,0,0,0,0,0,0,2018년
121,인천,강화군,03월,02일,0,0,1,1,1,0,2018년
122,인천,강화군,04월,02일,3,0,0,3,1,0,2018년
123,인천,강화군,05월,02일,0,0,0,0,0,0,2018년
124,인천,강화군,06월,02일,0,0,0,0,0,0,2018년
125,인천,강화군,07월,02일,0,0,0,0,0,0,2018년
126,인천,강화군,08월,02일,0,0,0,0,0,0,2018년
127,인천,강화군,09월,02일,0,0,0,0,0,0,2018년
128,인천,강화군,10월,02일,1,0,0,1,1,0,2018년
129,인천,강화군,11월,02일,1,0,0,1,1,0,2018년
130,인천,강화군,12월,02일,1,0,1,2,1,0,2018년
131,인천,계양구,01월,02일,0,0,0,0,0,0,2018년
132,인천,계양구,02월,02일,0,0,0,0,0,0,2018년
133,인천,계양구,03월,02일,1,0,0,1,1,0,2018년
134,인천,계양구,04월,02일,0,0,0,0,0,0,2018년
135,인천,계양구,05월,02일,0,0,0,0,0,0,2018년
136,인천,계양구,06월,02일,3,0,0,3,3,0,2018년
137,인천,계양구,07월,02일,5,0,1,6,5,0,2018년
138,인천,계양구,08월,02일,2,0,1,3,2,0,2018년
139,인천,계양구,09월,02일,2,0,0,2,1,0,2018년
140,인천,계양구,10월,02일,0,0,2,2,2,0,2018년
141,인천,계양구,11월,02일,2,0,1,3,3,0,2018년
142,인천,계양구,12월,02일,2,0,1,3,2,0,2018년
143,인천,남동구,01월,02일,3,0,2,5,3,0,2018년
144,인천,남동구,02월,02일,7,0,4,11,7,0,2018년
145,인천,남동구,03월,02일,8,0,2,10,3,0,2018년
146,인천,남동구,04월,02일,5,0,2,7,4,0,2018년
147,인천,남동구,05월,02일,3,0,1,4,3,0,2018년
148,인천,남동구,06월,02일,13,3,4,20,8,0,2018년
149,인천,남동구,07월,02일,10,0,0,10,7,0,2018년
150,인천,남동구,08월,02일,3,0,0,3,2,0,2018년
151,인천,남동구,09월,02일,5,0,0,5,5,0,2018년
152,인천,남동구,10월,02일,4,0,1,5,5,0,2018년
153,인천,남동구,11월,02일,6,0,7,13,10,0,2018년
154,인천,남동구,12월,02일,4,0,0,4,2,0,2018년
155,인천,동구,01월,02일,2,0,0,2,1,0,2018년
156,인천,동구,02월,02일,0,0,0,0,0,0,2018년
157,인천,동구,03월,02일,1,1,0,2,1,0,2018년
158,인천,동구,04월,02일,0,0,0,0,0,0,2018년
159,인천,동구,05월,02일,0,0,0,0,0,0,2018년
160,인천,동구,06월,02일,0,0,3,3,2,0,2018년
161,인천,동구,07월,02일,0,0,1,1,1,0,2018년
162,인천,동구,08월,02일,0,0,0,0,0,0,2018년
163,인천,동구,09월,02일,0,0,1,1,1,0,2018년
164,인천,동구,10월,02일,0,0,0,0,0,0,2018년
165,인천,동구,11월,02일,0,0,0,0,0,0,2018년
166,인천,동구,12월,02일,0,0,0,0,0,0,2018년
167,인천,미추홀구,01월,02일,3,0,0,3,3,0,2018년
168,인천,미추홀구,02월,02일,2,0,0,2,2,0,2018년
169,인천,미추홀구,03월,02일,3,0,1,4,3,0,2018년
170,인천,미추홀구,04월,02일,3,0,1,4,4,0,2018년
171,인천,미추홀구,05월,02일,2,0,0,2,2,0,2018년
172,인천,미추홀구,06월,02일,1,0,2,3,3,0,2018년
173,인천,미추홀구,07월,02일,2,0,0,2,1,0,2018년
174,인천,미추홀구,08월,02일,4,0,0,4,2,0,2018년
175,인천,미추홀구,09월,02일,4,0,2,6,3,0,2018년
176,인천,미추홀구,10월,02일,4,0,1,5,3,0,2018년
177,인천,미추홀구,11월,02일,0,0,2,2,2,0,2018년
178,인천,미추홀구,12월,02일,1,3,0,4,3,0,2018년
179,인천,부평구,01월,02일,5,0,3,8,5,0,2018년
180,인천,부평구,02월,02일,4,0,0,4,4,0,2018년
181,인천,부평구,03월,02일,2,0,1,3,2,0,2018년
182,인천,부평구,04월,02일,0,0,0,0,0,0,2018년
183,인천,부평구,05월,02일,5,0,0,5,3,0,2018년
184,인천,부평구,06월,02일,2,0,2,4,4,0,2018년
185,인천,부평구,07월,02일,8,0,3,11,7,0,2018년
186,인천,부평구,08월,02일,0,0,0,0,0,0,2018년
187,인천,부평구,09월,02일,2,0,1,3,3,0,2018년
188,인천,부평구,10월,02일,5,0,1,6,5,0,2018년
189,인천,부평구,11월,02일,3,0,3,6,6,0,2018년
190,인천,부평구,12월,02일,3,0,0,3,2,0,2018년
191,인천,서구,01월,02일,3,0,1,4,2,0,2018년
192,인천,서구,02월,02일,10,0,2,12,7,0,2018년
193,인천,서구,03월,02일,3,0,0,3,2,0,2018년
194,인천,서구,04월,02일,2,0,2,4,3,0,2018년
195,인천,서구,05월,02일,5,0,1,6,5,0,2018년
196,인천,서구,06월,02일,1,0,4,5,5,0,2018년
197,인천,서구,07월,02일,5,0,2,7,6,0,2018년
198,인천,서구,08월,02일,4,0,0,4,2,0,2018년
199,인천,서구,09월,02일,9,1,0,10,2,0,2018년
200,인천,서구,10월,02일,0,0,1,1,1,0,2018년
201,인천,서구,11월,02일,3,0,1,4,4,0,2018년
202,인천,서구,12월,02일,1,0,1,2,2,0,2018년
203,인천,연수구,01월,02일,2,0,0,2,1,0,2018년
204,인천,연수구,02월,02일,3,0,0,3,2,0,2018년
205,인천,연수구,03월,02일,4,0,1,5,2,0,2018년
206,인천,연수구,04월,02일,0,0,1,1,1,0,2018년
207,인천,연수구,05월,02일,4,0,0,4,2,0,2018년
208,인천,연수구,06월,02일,2,0,0,2,1,0,2018년
209,인천,연수구,07월,02일,1,0,0,1,1,0,2018년
210,인천,연수구,08월,02일,0,0,2,2,2,0,2018년
211,인천,연수구,09월,02일,4,0,0,4,3,0,2018년
212,인천,연수구,10월,02일,3,0,2,5,3,0,2018년
213,인천,연수구,11월,02일,1,0,0,1,1,0,2018년
214,인천,연수구,12월,02일,5,0,0,5,1,0,2018년
215,인천,옹진군,01월,02일,0,0,0,0,0,0,2018년
216,인천,옹진군,03월,02일,0,0,0,0,0,0,2018년
217,인천,옹진군,04월,02일,0,0,0,0,0,0,2018년
218,인천,옹진군,05월,02일,0,0,0,0,0,0,2018년
219,인천,옹진군,06월,02일,0,0,0,0,0,0,2018년
220,인천,옹진군,07월,02일,0,0,0,0,0,0,2018년
221,인천,옹진군,08월,02일,0,0,0,0,0,0,2018년
222,인천,옹진군,09월,02일,0,0,0,0,0,0,2018년
223,인천,옹진군,10월,02일,0,0,0,0,0,0,2018년
224,인천,옹진군,11월,02일,0,0,0,0,0,0,2018년
225,인천,옹진군,12월,02일,0,0,0,0,0,0,2018년
226,인천,중구,01월,02일,0,0,0,0,0,0,2018년
227,인천,중구,02월,02일,1,0,0,1,1,0,2018년
228,인천,중구,03월,02일,2,0,1,3,2,0,2018년
229,인천,중구,04월,02일,2,0,0,2,1,0,2018년
230,인천,중구,05월,02일,4,1,0,5,3,0,2018년
231,인천,중구,06월,02일,0,0,0,0,0,0,2018년
232,인천,중구,07월,02일,0,0,0,0,0,0,2018년
233,인천,중구,08월,02일,1,0,0,1,1,0,2018년
234,인천,중구,09월,02일,1,0,0,1,1,0,2018년
235,인천,중구,10월,02일,0,0,0,0,0,0,2018년
236,인천,중구,11월,02일,3,0,1,4,2,0,2018년
237,인천,중구,12월,02일,0,0,0,0,0,0,2018년
238,인천,강화군,01월,03일,0,0,0,0,0,0,2018년
239,인천,강화군,02월,03일,0,0,0,0,0,0,2018년
240,인천,강화군,03월,03일,0,0,0,0,0,0,2018년
241,인천,강화군,04월,03일,0,0,0,0,0,0,2018년
242,인천,강화군,05월,03일,0,0,0,0,0,0,2018년
243,인천,강화군,06월,03일,0,0,0,0,0,0,2018년
244,인천,강화군,07월,03일,0,0,0,0,0,0,2018년
245,인천,강화군,08월,03일,0,0,0,0,0,0,2018년
246,인천,강화군,09월,03일,1,0,0,1,1,0,2018년
247,인천,강화군,10월,03일,0,0,2,2,1,0,2018년
248,인천,강화군,11월,03일,0,0,0,0,0,0,2018년
249,인천,강화군,12월,03일,0,0,0,0,0,0,2018년
250,인천,계양구,01월,03일,3,0,2,5,4,0,2018년
251,인천,계양구,02월,03일,3,1,4,8,5,0,2018년
252,인천,계양구,03월,03일,1,0,0,1,1,0,2018년
253,인천,계양구,04월,03일,1,0,3,4,4,0,2018년
254,인천,계양구,05월,03일,0,0,1,1,1,0,2018년
255,인천,계양구,06월,03일,6,3,1,10,6,0,2018년
256,인천,계양구,07월,03일,1,0,1,2,2,0,2018년
257,인천,계양구,08월,03일,0,0,0,0,0,0,2018년
258,인천,계양구,09월,03일,0,0,1,1,1,0,2018년
259,인천,계양구,10월,03일,1,0,0,1,1,0,2018년
260,인천,계양구,11월,03일,1,0,1,2,2,0,2018년
261,인천,계양구,12월,03일,1,0,0,1,1,0,2018년
262,인천,남동구,01월,03일,4,0,0,4,3,0,2018년
263,인천,남동구,02월,03일,18,2,4,24,14,0,2018년
264,인천,남동구,03월,03일,7,1,2,10,5,0,2018년
265,인천,남동구,04월,03일,5,0,5,10,8,0,2018년
266,인천,남동구,05월,03일,5,0,1,6,5,0,2018년
267,인천,남동구,06월,03일,5,0,1,6,4,0,2018년
268,인천,남동구,07월,03일,0,1,2,3,3,0,2018년
269,인천,남동구,08월,03일,7,1,0,8,4,0,2018년
270,인천,남동구,09월,03일,6,0,3,9,6,0,2018년
271,인천,남동구,10월,03일,6,0,0,6,5,0,2018년
272,인천,남동구,11월,03일,3,0,0,3,2,0,2018년
273,인천,남동구,12월,03일,10,1,2,13,9,0,2018년
274,인천,동구,01월,03일,0,0,0,0,0,0,2018년
275,인천,동구,02월,03일,0,0,0,0,0,0,2018년
276,인천,동구,03월,03일,0,0,0,0,0,0,2018년
277,인천,동구,04월,03일,1,0,0,1,1,0,2018년
278,인천,동구,05월,03일,0,0,0,0,0,0,2018년
279,인천,동구,06월,03일,0,0,0,0,0,0,2018년
280,인천,동구,07월,03일,2,0,0,2,1,0,2018년
281,인천,동구,08월,03일,0,0,0,0,0,0,2018년
282,인천,동구,09월,03일,0,0,0,0,0,0,2018년
283,인천,동구,10월,03일,1,0,0,1,1,0,2018년
284,인천,동구,11월,03일,0,0,0,0,0,0,2018년
285,인천,동구,12월,03일,0,0,0,0,0,0,2018년
286,인천,미추홀구,01월,03일,5,0,0,5,3,0,2018년
287,인천,미추홀구,02월,03일,4,1,1,6,6,0,2018년
288,인천,미추홀구,03월,03일,5,1,2,8,5,1,2018년
289,인천,미추홀구,04월,03일,2,0,0,2,2,0,2018년
290,인천,미추홀구,05월,03일,5,1,2,8,5,0,2018년
291,인천,미추홀구,06월,03일,1,0,2,3,2,0,2018년
292,인천,미추홀구,07월,03일,0,0,0,0,0,0,2018년
293,인천,미추홀구,08월,03일,1,0,0,1,1,0,2018년
294,인천,미추홀구,09월,03일,5,3,0,8,6,0,2018년
295,인천,미추홀구,10월,03일,1,1,0,2,2,0,2018년
296,인천,미추홀구,11월,03일,3,0,1,4,4,1,2018년
297,인천,미추홀구,12월,03일,2,0,0,2,2,0,2018년
298,인천,부평구,01월,03일,1,0,1,2,2,0,2018년
299,인천,부평구,02월,03일,10,0,0,10,7,0,2018년
300,인천,부평구,03월,03일,8,0,0,8,3,0,2018년
301,인천,부평구,04월,03일,1,0,0,1,1,0,2018년
302,인천,부평구,05월,03일,9,0,0,9,5,0,2018년
303,인천,부평구,06월,03일,4,0,0,4,3,0,2018년
304,인천,부평구,07월,03일,2,0,1,3,3,0,2018년
305,인천,부평구,08월,03일,1,1,1,3,3,0,2018년
306,인천,부평구,09월,03일,0,0,0,0,0,0,2018년
307,인천,부평구,10월,03일,9,0,3,12,3,1,2018년
308,인천,부평구,11월,03일,10,0,2,12,8,0,2018년
309,인천,부평구,12월,03일,1,0,0,1,1,0,2018년
310,인천,서구,01월,03일,3,1,2,6,6,0,2018년
311,인천,서구,02월,03일,7,0,3,10,8,0,2018년
312,인천,서구,03월,03일,2,0,0,2,2,0,2018년
313,인천,서구,04월,03일,0,0,0,0,0,0,2018년
314,인천,서구,05월,03일,4,0,1,5,4,0,2018년
315,인천,서구,06월,03일,3,0,1,4,4,0,2018년
316,인천,서구,07월,03일,3,0,0,3,3,0,2018년
317,인천,서구,08월,03일,4,0,1,5,4,0,2018년
318,인천,서구,09월,03일,8,0,2,10,6,0,2018년
319,인천,서구,10월,03일,0,0,1,1,1,0,2018년
320,인천,서구,11월,03일,3,0,0,3,3,1,2018년
321,인천,서구,12월,03일,3,0,1,4,4,0,2018년
322,인천,연수구,01월,03일,1,0,0,1,1,0,2018년
323,인천,연수구,02월,03일,3,0,0,3,2,0,2018년
324,인천,연수구,03월,03일,0,0,0,0,0,0,2018년
325,인천,연수구,04월,03일,1,0,1,2,2,0,2018년
326,인천,연수구,05월,03일,6,0,1,7,5,0,2018년
327,인천,연수구,06월,03일,2,0,1,3,1,0,2018년
328,인천,연수구,07월,03일,3,0,2,5,4,1,2018년
329,인천,연수구,08월,03일,0,0,0,0,0,0,2018년
330,인천,연수구,09월,03일,3,0,1,4,4,0,2018년
331,인천,연수구,10월,03일,1,0,0,1,1,0,2018년
332,인천,연수구,11월,03일,5,0,2,7,6,0,2018년
333,인천,연수구,12월,03일,0,0,0,0,0,0,2018년
334,인천,옹진군,01월,03일,0,0,0,0,0,0,2018년
335,인천,옹진군,03월,03일,0,0,0,0,0,0,2018년
336,인천,옹진군,04월,03일,0,0,0,0,0,0,2018년
337,인천,옹진군,05월,03일,0,0,0,0,0,0,2018년
338,인천,옹진군,06월,03일,0,0,0,0,0,0,2018년
339,인천,옹진군,07월,03일,0,0,0,0,0,0,2018년
340,인천,옹진군,08월,03일,0,0,0,0,0,0,2018년
341,인천,옹진군,09월,03일,0,0,0,0,0,0,2018년
342,인천,옹진군,10월,03일,0,0,0,0,0,0,2018년
343,인천,옹진군,11월,03일,0,0,0,0,0,0,2018년
344,인천,옹진군,12월,03일,0,0,0,0,0,0,2018년
345,인천,중구,01월,03일,1,0,0,1,1,0,2018년
346,인천,중구,02월,03일,1,0,1,2,2,0,2018년
347,인천,중구,03월,03일,2,0,1,3,3,0,2018년
348,인천,중구,04월,03일,0,0,0,0,0,0,2018년
349,인천,중구,05월,03일,1,0,0,1,1,0,2018년
350,인천,중구,06월,03일,0,0,0,0,0,0,2018년
351,인천,중구,07월,03일,3,0,0,3,2,0,2018년
352,인천,중구,08월,03일,5,1,0,6,3,0,2018년
353,인천,중구,09월,03일,0,0,0,0,0,0,2018년
354,인천,중구,10월,03일,0,0,0,0,0,0,2018년
355,인천,중구,11월,03일,1,0,1,2,2,0,2018년
356,인천,중구,12월,03일,0,0,1,1,1,0,2018년
357,인천,강화군,01월,04일,0,0,0,0,0,0,2018년
358,인천,강화군,02월,04일,0,0,0,0,0,0,2018년
359,인천,강화군,03월,04일,0,0,0,0,0,0,2018년
360,인천,강화군,04월,04일,0,0,0,0,0,0,2018년
361,인천,강화군,05월,04일,0,0,1,1,1,0,2018년
362,인천,강화군,06월,04일,0,0,0,0,0,0,2018년
363,인천,강화군,07월,04일,1,0,0,1,1,0,2018년
364,인천,강화군,08월,04일,0,0,0,0,0,0,2018년
365,인천,강화군,09월,04일,1,0,1,2,2,0,2018년
366,인천,강화군,10월,04일,0,0,0,0,0,0,2018년
367,인천,강화군,11월,04일,0,0,0,0,0,0,2018년
368,인천,강화군,12월,04일,0,0,0,0,0,0,2018년
369,인천,계양구,01월,04일,1,0,0,1,1,0,2018년
370,인천,계양구,02월,04일,8,0,2,10,3,0,2018년
371,인천,계양구,03월,04일,1,0,1,2,2,0,2018년
372,인천,계양구,04월,04일,2,0,2,4,4,0,2018년
373,인천,계양구,05월,04일,1,0,2,3,3,0,2018년
374,인천,계양구,06월,04일,0,0,5,5,4,0,2018년
375,인천,계양구,07월,04일,1,0,2,3,4,1,2018년
376,인천,계양구,08월,04일,1,2,0,3,2,0,2018년
377,인천,계양구,09월,04일,2,0,0,2,2,0,2018년
378,인천,계양구,10월,04일,1,0,0,1,1,0,2018년
379,인천,계양구,11월,04일,3,0,0,3,1,0,2018년
380,인천,계양구,12월,04일,1,0,1,2,2,0,2018년
381,인천,남동구,01월,04일,7,0,0,7,4,0,2018년
382,인천,남동구,02월,04일,9,0,1,10,5,0,2018년
383,인천,남동구,03월,04일,3,0,3,6,4,0,2018년
384,인천,남동구,04월,04일,6,0,1,7,6,0,2018년
385,인천,남동구,05월,04일,3,1,1,5,5,0,2018년
386,인천,남동구,06월,04일,4,0,1,5,4,0,2018년
387,인천,남동구,07월,04일,3,0,0,3,2,0,2018년
388,인천,남동구,08월,04일,7,1,0,8,6,0,2018년
389,인천,남동구,09월,04일,7,0,2,9,6,0,2018년
390,인천,남동구,10월,04일,6,2,4,12,9,0,2018년
391,인천,남동구,11월,04일,1,0,5,6,6,0,2018년
392,인천,남동구,12월,04일,4,0,1,5,4,0,2018년
393,인천,동구,01월,04일,0,1,0,1,1,0,2018년
394,인천,동구,02월,04일,2,0,0,2,2,0,2018년
395,인천,동구,03월,04일,0,0,0,0,0,0,2018년
396,인천,동구,04월,04일,0,0,0,0,0,0,2018년
397,인천,동구,05월,04일,0,0,1,1,1,0,2018년
398,인천,동구,06월,04일,0,0,0,0,0,0,2018년
399,인천,동구,07월,04일,0,0,0,0,0,0,2018년
400,인천,동구,08월,04일,0,0,0,0,0,0,2018년
401,인천,동구,09월,04일,2,0,1,3,2,0,2018년
402,인천,동구,10월,04일,0,0,0,0,0,0,2018년
403,인천,동구,11월,04일,0,0,0,0,0,0,2018년
404,인천,동구,12월,04일,1,0,0,1,1,0,2018년
405,인천,미추홀구,01월,04일,3,0,0,3,2,0,2018년
406,인천,미추홀구,02월,04일,5,1,0,6,4,0,2018년
407,인천,미추홀구,03월,04일,0,0,0,0,0,0,2018년
408,인천,미추홀구,04월,04일,1,1,2,4,3,0,2018년
409,인천,미추홀구,05월,04일,1,0,1,2,2,0,2018년
410,인천,미추홀구,06월,04일,2,2,0,4,4,0,2018년
411,인천,미추홀구,07월,04일,5,0,1,6,3,0,2018년
412,인천,미추홀구,08월,04일,3,0,0,3,2,0,2018년
413,인천,미추홀구,09월,04일,0,1,1,2,2,0,2018년
414,인천,미추홀구,10월,04일,9,0,2,11,5,0,2018년
415,인천,미추홀구,11월,04일,3,3,2,8,3,0,2018년
416,인천,미추홀구,12월,04일,1,0,0,1,1,0,2018년
417,인천,부평구,01월,04일,3,0,0,3,3,0,2018년
418,인천,부평구,02월,04일,13,0,1,14,8,0,2018년
419,인천,부평구,03월,04일,5,0,0,5,4,0,2018년
420,인천,부평구,04월,04일,4,0,3,7,5,0,2018년
421,인천,부평구,05월,04일,2,0,0,2,2,0,2018년
422,인천,부평구,06월,04일,1,0,0,1,1,0,2018년
423,인천,부평구,07월,04일,5,0,0,5,4,0,2018년
424,인천,부평구,08월,04일,5,1,1,7,5,0,2018년
425,인천,부평구,09월,04일,4,1,1,6,3,0,2018년
426,인천,부평구,10월,04일,1,0,2,3,2,0,2018년
427,인천,부평구,11월,04일,0,0,0,0,0,0,2018년
428,인천,부평구,12월,04일,1,0,1,2,2,0,2018년
429,인천,서구,01월,04일,3,0,1,4,1,0,2018년
430,인천,서구,02월,04일,6,0,2,8,5,0,2018년
431,인천,서구,03월,04일,2,0,1,3,3,0,2018년
432,인천,서구,04월,04일,1,0,0,1,1,0,2018년
433,인천,서구,05월,04일,4,0,3,7,7,0,2018년
434,인천,서구,06월,04일,2,0,0,2,2,0,2018년
435,인천,서구,07월,04일,2,0,1,3,4,1,2018년
436,인천,서구,08월,04일,5,0,1,6,2,0,2018년
437,인천,서구,09월,04일,10,0,3,13,9,0,2018년
438,인천,서구,10월,04일,2,0,1,3,3,0,2018년
439,인천,서구,11월,04일,1,0,1,2,2,0,2018년
440,인천,서구,12월,04일,3,0,1,4,4,1,2018년
441,인천,연수구,01월,04일,1,0,3,4,4,0,2018년
442,인천,연수구,02월,04일,5,0,0,5,2,0,2018년
443,인천,연수구,03월,04일,1,0,0,1,1,0,2018년
444,인천,연수구,04월,04일,2,0,1,3,2,0,2018년
445,인천,연수구,05월,04일,2,0,0,2,2,0,2018년
446,인천,연수구,06월,04일,1,0,1,2,2,0,2018년
447,인천,연수구,07월,04일,1,0,0,1,1,0,2018년
448,인천,연수구,08월,04일,2,0,0,2,2,0,2018년
449,인천,연수구,09월,04일,1,0,2,3,3,0,2018년
